id,name,thc,cbd,ratings_score,ratings_count,num_likes,min_price,max_price,slug,product_link
1580,HiSociety TT Banjo,18.7,1.0,4.44,9,242.0,,,hisociety-tt-banjo,https://flowzz.com/product/hisociety-tt-banjo
1581,TYSON 2.0 32/1 Haymaker Haze,31.4,0.1,3.0,2,69.0,8.45,11.29,tyson-32-1-haymaker-haze,https://flowzz.com/product/tyson-32-1-haymaker-haze
1586,All Nations Pretty Smalls MD 21/1 Mac Daddy,21.0,0.9,5.0,1,88.0,5.95,6.99,all-nations-pretty-smalls-md-21-1-mac-daddy,https://flowzz.com/product/all-nations-pretty-smalls-md-21-1-mac-daddy
1587,All Nations Pretty Smalls GM 21/1 MacDoughnut,21.0,0.9,4.0,3,94.0,6.4,9.98,all-nations-pretty-smalls-gm-21-1-macdoughnut,https://flowzz.com/product/all-nations-pretty-smalls-gm-21-1-macdoughnut
1588,All Nations Pretty Smalls LT 21/1 Lemon Tartz,21.0,0.9,4.29,7,102.0,6.95,9.98,all-nations-pretty-smalls-lt-21-1-lemon-tartz,https://flowzz.com/product/all-nations-pretty-smalls-lt-21-1-lemon-tartz
1589,Barongo 28/1 LPJ Legacy Pheno Jean Guy,28.0,0.9,0.0,0,1.0,,,barongo-28-1-lpj-legacy-pheno-jean-guy,https://flowzz.com/product/barongo-28-1-lpj-legacy-pheno-jean-guy
1579,CannabiStada 24/1 PIK Pink Kush,24.0,0.1,0.0,0,9.0,9.99,14.26,cannabistada-24-1-pik-pink-kush,https://flowzz.com/product/cannabistada-24-1-pik-pink-kush
1572,CNBS BTY GP 30/1 Better Than Your Gary Payton,31.0,1.0,4.17,12,116.0,8.49,8.95,cbns-bty-gp-30-1-better-than-your-gary-payton,https://flowzz.com/product/cbns-bty-gp-30-1-better-than-your-gary-payton
1578,420 Compound 25/1 RPV Rose Gold Pave,25.0,0.1,5.0,1,38.0,6.55,9.98,420-compound-25-1-rpv-rose-gold-pave,https://flowzz.com/product/420-compound-25-1-rpv-rose-gold-pave
1577,Canify Cannabis flos 27/1 PRT Ku. Strawberry Banana S,27.0,0.1,0.0,0,73.0,,,canify-cannabis-flos-27-1-prt-ku-strawberry-banana-s,https://flowzz.com/product/canify-cannabis-flos-27-1-prt-ku-strawberry-banana-s
1576,Canopy AKH 26/1 Afghan Kush,26.0,0.9,4.29,7,40.0,7.29,7.29,canopy-akh-26-afghan-kush,https://flowzz.com/product/canopy-akh-26-afghan-kush
1575,MGF RGP/26 Rose Gold Pave,26.0,0.1,3.0,1,11.0,6.49,8.99,mgf-rgp-26-rose-gold-pave,https://flowzz.com/product/mgf-rgp-26-rose-gold-pave
1573,enua 25/1 GMO CA Koko Cookies,25.0,1.0,5.0,1,45.0,5.85,10.0,enua-25-1-gmo-ca-koko-cookies,https://flowzz.com/product/enua-25-1-gmo-ca-koko-cookies
1574,enua 30/1 ZKM CA Zkittlez Kushmints,30.0,1.0,1.67,3,92.0,7.25,8.89,enua-30-1-zkm-ca-zkittlez-kushmints,https://flowzz.com/product/enua-30-1-zkm-ca-zkittlez-kushmints
1571,Eufloria 27/1 BTR Black Triangle,27.0,1.0,4.0,1,111.0,6.0,9.99,eufloria-27-1-btr-black-triangle,https://flowzz.com/product/eufloria-27-1-btr-black-triangle
1570,Huala 25/1 UK CIN Cinderella Kush,25.0,1.0,4.51,16,442.0,4.99,7.49,huala-25-1-uk-cin-cinderella-kush,https://flowzz.com/product/huala-25-1-uk-cin-cinderella-kush
1552,IMC X4 THC25 Token Gorilla Queen,25.0,0.1,2.33,3,133.0,4.98,9.98,imc-thc25-e6-gorilla-queen,https://flowzz.com/product/imc-thc25-e6-gorilla-queen
1505,canymed BC 28/1: Alphaflos Schneewittchen,28.0,0.1,5.0,1,122.0,8.9,12.5,canymed-bc-28-1-alphaflos-schneewittchen,https://flowzz.com/product/canymed-bc-28-1-alphaflos-schneewittchen
1558,ADREX 24 CSC CAN Chem Scout Cookies,24.0,0.1,4.5,2,75.0,5.98,6.45,adrex-24-csc-can-chem-scout-cookies,https://flowzz.com/product/adrex-24-csc-can-chem-scout-cookies
1559,24/1 Amici GB Godberry,24.0,1.0,3.51,10,156.0,4.99,8.89,24-1-amici-gb-godberry,https://flowzz.com/product/24-1-amici-gb-godberry
1560,Remexian 24/1 CBM FBC Frozen Black Cherry,24.0,1.0,4.25,8,280.0,5.89,7.8,remexian-24-1-cbm-fbc-frozen-black-cherry,https://flowzz.com/product/remexian-24-1-cbm-fbc-frozen-black-cherry
1561,Remexian 24/1 CRX OOG Oasis OG,24.0,1.0,4.0,1,36.0,5.45,10.68,remexian-24-1--crx-oog-oasis-og,https://flowzz.com/product/remexian-24-1--crx-oog-oasis-og
1557,420 Balanced Basic PT SLG Super Lemon G,5.6,6.8,4.67,3,116.0,7.5,11.9,420-balanced-basic-pt-slg-super-lemon-g,https://flowzz.com/product/420-balanced-basic-pt-slg-super-lemon-g
1562,Eufloria 24/1 BAN Banjo,24.0,1.0,4.14,7,155.0,4.98,9.98,eufloria-24-1-ban-banjo,https://flowzz.com/product/eufloria-24-1-ban-banjo
